text,label,category
"Universitetda ertangi imtihon 10:30da 108-xonada bo'lib o'tadi, pasportingizni olib kelishni unutmang.",safe,xavfsiz
"Salom, men amakingman, hozir chet elda muammoga tushdim, tezda 1 850 000 so'm yubor, uyga qaytganda qaytaraman.",phishing,shoshilinch_yordam
"Ipoteka bank sizni yangi depozit shartlari bilan tanishishga taklif qiladi — foiz stavkasi 26% gacha, filiallarga tashrif buyuring.",safe,xavfsiz
"Tug'ilgan kuningiz muborak bo'lsin, Dilnoza! Senga baxt va sog'lik tilaymiz.",safe,xavfsiz
"VIDEO: Taniqli shaxs nomidan tarqatilgan xabar — 'Bu loyiha orqali har kim 12 000 000 so'm ishlab topishi mumkin', batafsil: telegram-support-uz.net",phishing,mashhur_shaxs_deepfake
"Tibbiyot institutiga kirish kafolatlanadi, komissiya a'zolari bilan kelishib qo'yganman, faqat oldindan to'lov kerak.",phishing,universitetga_kiritish_pora
"Do'stlaringizni taklif qiling va pul ishlang! Har bir taklif uchun bonus to'lanadi, isbot uchun skrinshotlar guruhda bor, qo'shiling: gov-uz-yordam.com",phishing,piramida_referral
"Bugun ob-havo ochiq, harorat +28 daraja. Kechqurun sayrga chiqsak bo'ladimi, Feruza?",safe,xavfsiz
"Yagona portal (my.gov.uz) orqali arizamni yubordim, holatini kuzatib boryapman.",safe,xavfsiz
"Assalomu alaykum, men soliq idorasi xodimiman, sizga 5 400 000 so'm miqdorida ortiqcha to'langan soliq qaytariladi. Kartangiz raqamini va SMS kodini tasdiqlash uchun yuboring.",phishing,soliq_idorasi
"Hurmatli fuqaro, pasport almashtirish arizangiz qabul qilindi, 19:00 kuni tayyor bo'ladi.",safe,xavfsiz
"Ertangi konferensiyaga ro'yxatdan o'tish uchun rasmiy sayt orqali ariza to'ldirishingiz kerak, Bekzod.",safe,xavfsiz
Davlat soliq qo'mitasi: sizning nomingizga soliq qaytarilishi rasmiylashtirildi. Mablag'ni olish uchun gov-uz-yordam.com orqali shaxsiy ma'lumotlaringizni kiriting.,phishing,soliq_idorasi
Asakabank ilovasida yangi funksiya qo'shildi: endi to'lovlarni QR-kod orqali amalga oshirishingiz mumkin.,safe,xavfsiz
"Guruhimizga qo'shiling! 50 kishi taklif qilsangiz 500 ming, 200 kishi taklif qilsangiz 3 million so'm olasiz, hoziroq boshlang: gov-uz-yordam.com",phishing,piramida_referral
Faqаt 1 kun ichida pulingizni 3 mаrtаga оshiring! Kripto-lоyihаmizga qo'shiling: gоv-uz-yоrdam.сom. Minimal depоzit 5 400 000 so'm.,phishing,kripto_investitsiya_obfuskatsiya
"Tanishuv ilovasida yigit bilan tanishdik, hali pul haqida gap bo'lgani yo'q, faqat suhbatlashib yuribmiz.",safe,xavfsiz
Yangi ijtimoiy dastur asosida har bir kattalar yoshidagi fuqaroga 3 000 000 so'm ajratilmoqda. Batafsil: click-uz-bonus.xyz (rasmiy portal ko'rinishidagi soxta sayt),phishing,davlat_kompensatsiya
"mehmonxonada xonangizni band qildik, check-in vaqti 15:00.",safe,xavfsiz
"Elektr energiyasi bo'yicha 5 400 000 so'm qarzingiz bor, 2 soat ichida to'lamasangiz svet o'chiriladi, to'lov: uz-compensation.info",phishing,kommunal_tolov
"Assalomu alaykum, so'ragan hujjatlarni skanerlab elektron pochtaga yubordim, Feruza.",safe,xavfsiz
"Jasur, doktor ertaga 19:00ga qabulga chaqirdi, tahlil natijalarini olib boring.",safe,xavfsiz
"Men Prezident Administratsiyasi xodimiman, sizning nomzodingiz yuqori lavozimga tasdiqlangan, tezroq rasmiylashtirish uchun 3 000 000 so'm kerak bo'ladi, hech kimga aytmang.",phishing,amaldor_lavozim_pora
"Bugun ob-havo ochiq, harorat +12 daraja. Kechqurun sayrga chiqsak bo'ladimi, Dilnoza?",safe,xavfsiz
Sizni maxsus VIP investitsiya guruhimizga taklif qilamiz. Har kuni 15% daromad kafolatlanadi! Ro'yxatdan o'tish: telegram-support-uz.net,phishing,kripto_investitsiya
"Kapitalbankdan kredit olish bo'yicha maslahat kerak bo'lsa, filialga bevosita murojaat qiling, hech qanday oldindan to'lov talab qilinmaydi.",safe,xavfsiz
"Bugungi mashg'ulot kafeda 14:00da boshlanadi, kechikmang iltimos.",safe,xavfsiz
"Litsenziyaga ega rekruting kompaniyasi orqali Rossiyaga ishga ketyapman, shartnoma imzoladim, xarajatlarni ish beruvchi qoplaydi.",safe,xavfsiz
"Bugun ob-havo ochiq, harorat +30 daraja. Kechqurun sayrga chiqsak bo'ladimi, Jasur?",safe,xavfsiz
"Men Prezident Administratsiyasi xodimiman, sizning nomzodingiz yuqori lavozimga tasdiqlangan, tezroq rasmiylashtirish uchun 27 500 000 so'm kerak bo'ladi, hech kimga aytmang.",phishing,amaldor_lavozim_pora
"Amakim tug'ilgan kunida hammamiz yig'ilamiz, kafeda soat 16:30da.",safe,xavfsiz
"Amakim tug'ilgan kunida hammamiz yig'ilamiz, ofisda soat 18:00da.",safe,xavfsiz
"Investitsiya bo'yicha kitob o'qib, o'zim tahlil qilib, kichik summa bilan sinab ko'rmoqchiman, hech kim pul va'da qilgani yo'q.",safe,xavfsiz
"Asakabank sizni yangi depozit shartlari bilan tanishishga taklif qiladi — foiz stavkasi 26% gacha, filiallarga tashrif buyuring.",safe,xavfsiz
"Men professional treyderman, sun'iy intellekt dasturi orqali pulingizni ko'paytiraman, faqat boshlang'ich tarifni tanlab, kartaga o'tkazing.",phishing,forex_soxta_treyder
Agrobank ilovasida yangi funksiya qo'shildi: endi to'lovlarni QR-kod orqali amalga oshirishingiz mumkin.,safe,xavfsiz
"Foydali ilova: pul tejash kalkulyatori, yuklab oling (.apk fayl): gov-uz-yordam.com, do'stlaringizga ham ulashing.",phishing,apk_virus
"Malika bilan loyihani muhokama qildik, hammasi rejaga muvofiq davom etmoqda.",safe,xavfsiz
"Korrupsiyaga qarshi kurashish agentligidan qo'ng'iroq qilyapmiz, sizning hisobingiz noqonuniy operatsiyalarda ishtirok etgan, tekshiruv uchun operator bilan aloqada bo'ling va ko'rsatmalarga amal qiling.",phishing,soxta_huquqni_muhofaza
"ofisda xonangizni band qildik, check-in vaqti 15:00.",safe,xavfsiz
"OSON to'lov tizimi rasmiy boti: 5 mln dan 50 mln so'mgacha kredit rasmiylashtiramiz, pasport va karta ma'lumotlaringizni yuboring: telegram-support-uz.net",phishing,oson_kredit_soxta
"Assalomu alaykum, Gulnora! Sizga davlat tomonidan yangi ijtimoiy kompensatsiya dasturi doirasida 12 000 000 so'm ajratildi. Tasdiqlash uchun havolaga o'ting: sovga-yangiyil.click",phishing,davlat_kompensatsiya
"Salom, bu men, Shaxzod, eski raqamim ishlamayapti shu raqamdan yozyapman. Bir amallab 50 000 000 so'm qarz bera olasanmi, ertaga qaytaraman, mana karta raqamim.",phishing,soxta_tanish_qarz
Sizni maxsus VIP investitsiya guruhimizga taklif qilamiz. Har kuni 15% daromad kafolatlanadi! Ro'yxatdan o'tish: uz-compensation.info,phishing,kripto_investitsiya
"Hurmatli mijoz, Asakabank orqali 50 000 000 so'm miqdorida to'lovingiz muvaffaqiyatli amalga oshirildi.",safe,xavfsiz
"Amakim tug'ilgan kunida hammamiz yig'ilamiz, sport zalida soat 10:30da.",safe,xavfsiz
"Tug'ilgan kuningiz muborak bo'lsin, Bekzod! Senga baxt va sog'lik tilaymiz.",safe,xavfsiz
"Signal kanalimizga qo'shiling, Forex bozorida har kuni foyda kafolatlanadi, ro'yxatdan o'tish uchun 8 300 000 so'm to'lang: telegram-support-uz.net",phishing,forex_soxta_treyder
"Rasmiy avtosalondan mashina buyurtma qildim, shartnoma tuzib, bank orqali kredit rasmiylashtirdim.",safe,xavfsiz
"Do'stlaringizni taklif qiling va pul ishlang! Har bir taklif uchun bonus to'lanadi, isbot uchun skrinshotlar guruhda bor, qo'shiling: uz-compensation.info",phishing,piramida_referral
"Yordamga muhtoj oilaga xayriya to'planmoqda, ishonch uchun kasallik tarixi bor, mana karta raqami: hamyon-uz.top",phishing,xayriya_firibgarligi
"Ertangi konferensiyaga ro'yxatdan o'tish uchun rasmiy sayt orqali ariza to'ldirishingiz kerak, Aziz.",safe,xavfsiz
"Assalomu alaykum, bugungi yig'ilish 18:00ga ko'chirildi, mehmonxonada bo'lib o'tadi.",safe,xavfsiz
"Feruza bilan loyihani muhokama qildik, hammasi rejaga muvofiq davom etmoqda.",safe,xavfsiz
"Bank filialidan qo'ng'iroq qilishm oqda, k art.angiz yangilanishi kerak, operator bilan gaplashib- kart-a ra qami va CV V ko-dini tasdiqlang .",phishing,yashirin_ma'lumot_sorash_obfuskatsiya
Broker Bekzod sizga signal beryapti: hoziroq kirsangiz 12 000 000 so'm sarmoyangiz 1 haftada ikkilanadi. Batafsil: sovga-yangiyil.click,phishing,kripto_investitsiya
"Xorijlik hamkasbim bilan ish yuzasidan yozishamiz, hech qachon pul so'ragan emas.",safe,xavfsiz
"Assalomu alaykum, men soliq idorasi xodimiman, sizga 1 850 000 so'm miqdorida ortiqcha to'langan soliq qaytariladi. Kartangiz raqamini va SMS kodini tasdiqlash uchun yuboring.",phishing,soliq_idorasi
"Mahalla orqali rasmiy xayriya jamg'armasiga ozgina hissa qo'shdim, hisobot oshkora e'lon qilinadi.",safe,xavfsiz
"Bank ilovasi yangilandi, eski versiya endi ishlamaydi, yangi APK faylni shu havoladan yuklab oling: gov-uz-yordam.com",phishing,apk_virus
Broker Otabek sizga signal beryapti: hoziroq kirsangiz 50 000 000 so'm sarmoyangiz 1 haftada ikkilanadi. Batafsil: hamyon-uz.top,phishing,kripto_investitsiya
"Salom Dilnoza, ertaga soat 9:00da uchrashamizmi? ofisga borib gaplashaylik.",safe,xavfsiz
DIQQAT! Prezident farmoniga asosan barcha fuqarolarga bir martalik 27 500 000 so'm to'lov beriladi. Ro'yxatdan o'tish: hamyon-uz.top — muddat cheklangan!,phishing,davlat_kompensatsiya
"Shaxzod do'stimga qarz berdim, u telefon orqali so'radi, lekin avval video-qo'ng'iroqda gaplashib tasdiqladim.",safe,xavfsiz
Dilnozani 'Yilning eng yaxshi onasi' tanlovida g'olib qilish uchun ovoz bering! Havola: gov-uz-yordam.com — Telegram orqali kirish talab qilinadi.,phishing,soxta_tanlov
"Assalomu alaykum, bugungi yig'ilish 16:30ga ko'chirildi, universitetda bo'lib o'tadi.",safe,xavfsiz
"Bugungi mashg'ulot universitetda 18:00da boshlanadi, kechikmang iltimos.",safe,xavfsiz
"Dilnoza, sizga yuborilgan shartnomani ko'rib chiqib, imzo qo'yib qaytaring.",safe,xavfsiz
"Sizga noyob dori bepul taqdim etiladi, faqat yetkazib berish xarajatini to'lang: click-uz-bonus.xyz",phishing,sog'liq_dorixona
"Malika do'stimga qarz berdim, u telefon orqali so'radi, lekin avval video-qo'ng'iroqda gaplashib tasdiqladim.",safe,xavfsiz
"Ish beruvchim menga bonus va'da qildi, agar oyning rejasini bajarsam, shartnomada yozilgan.",safe,xavfsiz
"Bekzod do'stimga qarz berdim, u telefon orqali so'radi, lekin avval video-qo'ng'iroqda gaplashib tasdiqladim.",safe,xavfsiz
"Bugun ob-havo ochiq, harorat +22 daraja. Kechqurun sayrga chiqsak bo'ladimi, Malika?",safe,xavfsiz
"Yordamga muhtoj oilaga xayriya to'planmoqda, ishonch uchun kasallik tarixi bor, mana karta raqami: telegram-support-uz.net",phishing,xayriya_firibgarligi
"Elektr energiyasi bo'yicha 1 850 000 so'm qarzingiz bor, 2 soat ichida to'lamasangiz svet o'chiriladi, to'lov: click-uz-bonus.xyz",phishing,kommunal_tolov
"Bank ilovasi yangilandi, eski versiya endi ishlamaydi, yangi APK faylni shu havoladan yuklab oling: hamyon-uz.top",phishing,apk_virus
"Bekzod, dorixonadan retsept asosida dori oldim, ertaga sizga olib kelaman.",safe,xavfsiz
"Otabek, dorixonadan retsept asosida dori oldim, ertaga sizga olib kelaman.",safe,xavfsiz
"Agrobank operatori bilan gaplashib, yangi karta buyurtma qildim, ertaga filialdan olib ketaman, hech qanday kod yubormadim.",safe,xavfsiz
"Bugungi mashg'ulot kafeda 19:00da boshlanadi, kechikmang iltimos.",safe,xavfsiz
"Pensiya jamg'armasiga hujjatlarni shaxsan olib bordim, ular ikki hafta ichida ko'rib chiqishadi.",safe,xavfsiz
"Uyda ishlab, kuniga 500 000 so'mgacha top! Ishni boshlash uchun 12 000 000 so'm ro'yxatdan o'tish to'lovini o'tkazing: gov-uz-yordam.com",phishing,ish_taklifi_oldindan_tolov
"Jasur do'stimga qarz berdim, u telefon orqali so'radi, lekin avval video-qo'ng'iroqda gaplashib tasdiqladim.",safe,xavfsiz
"Sizga noyob dori bepul taqdim etiladi, faqat yetkazib berish xarajatini to'lang: hamyon-uz.top",phishing,sog'liq_dorixona
Bepul davolash dasturi! 3 000 000 so'mgacha davlat kompensatsiyasi olish uchun shifo kartangizni tasdiqlang: sovga-yangiyil.click,phishing,sog'liq_dorixona
Broker Jasur sizga signal beryapti: hoziroq kirsangiz 1 850 000 so'm sarmoyangiz 1 haftada ikkilanadi. Batafsil: click-uz-bonus.xyz,phishing,kripto_investitsiya
"Dilnoza do'stimga qarz berdim, u telefon orqali so'radi, lekin avval video-qo'ng'iroqda gaplashib tasdiqladim.",safe,xavfsiz
"Signal kanalimizga qo'shiling, Forex bozorida har kuni foyda kafolatlanadi, ro'yxatdan o'tish uchun 5 400 000 so'm to'lang: sovga-yangiyil.click",phishing,forex_soxta_treyder
"Aloqa operatoridan xabar: raqamingiz bloklanadi, buni bekor qilish uchun SIM-karta PIN kodini SMS orqali yuboring.",phishing,yashirin_ma'lumot_sorash
"Feruza, loyiha bo'yicha hisobotni Excel faylida yubordim, tekshirib chiqing iltimos.",safe,xavfsiz
Yangi ijtimoiy dastur asosida har bir kattalar yoshidagi fuqaroga 27 500 000 so'm ajratilmoqda. Batafsil: click-uz-bonus.xyz (rasmiy portal ko'rinishidagi soxta sayt),phishing,davlat_kompensatsiya
"Lavozimga ko'tarilishim rasmiy buyruq bilan tasdiqlandi, hech qanday pul talab qilinmadi, faqat malaka oshirish kursidan o'tdim.",safe,xavfsiz
"Signal kanalimizga qo'shiling, Forex bozorida har kuni foyda kafolatlanadi, ro'yxatdan o'tish uchun 50 000 000 so'm to'lang: telegram-support-uz.net",phishing,forex_soxta_treyder
"Otabek, farzandingiz baxtsiz hodisaga uchradi, hozir shifoxonada, operatsiya uchun tezda 5 400 000 so'm kerak, shu kartaga o'tkazing!",phishing,oilaviy_favqulodda
"Salom, men amakingman, hozir chet elda muammoga tushdim, tezda 12 000 000 so'm yubor, uyga qaytganda qaytaraman.",phishing,shoshilinch_yordam
"Bugun soat 19:00da video-qo'ng'iroq qilamizmi, Malika? Loyihani muhokama qilishimiz kerak.",safe,xavfsiz
DIQQAT! Prezident farmoniga asosan barcha fuqarolarga bir martalik 1 850 000 so'm to'lov beriladi. Ro'yxatdan o'tish: hamyon-uz.top — muddat cheklangan!,phishing,davlat_kompensatsiya
"Hurmatli fuqaro, sizning oilangiz tekshirishdan o'tdi va 8 300 000 so'mgacha davlat yordami olishga haqli. Ariza: sovga-yangiyil.click",phishing,davlat_kompensatsiya
"Aloqa operatorid.an  xabar: raqamingiz bloklana.di, bun.i bekor qilis h uchun SIM-karta PIN kod-ini S MS orqali y uboring.",phishing,yashirin_ma'lumot_sorash_obfuskatsiya
"Assalomu alaykum, buyurtmangiz bank filiali filialidan olib ketishga tayyor, 14:00gacha kutamiz.",safe,xavfsiz
"Gaz hisobini plastik karta orqali Asakabank ilovasida to'ladim, tasdiqlash SMSi keldi.",safe,xavfsiz
"Do'stlaringizni taklif qiling va pul ishlang! Har bir taklif uchun bonus to'lanadi, isbot uchun skrinshotlar guruhda bor, qo'shiling: telegram-support-uz.net",phishing,piramida_referral
"Bugun soat 18:00da video-qo'ng'iroq qilamizmi, Aziz? Loyihani muhokama qilishimiz kerak.",safe,xavfsiz
"Sarmoyangizni 60 daqiqada 20 baravar oshiramiz! Tarif tanlang: 27 500 000 so'm to'lang, bir soatdan keyin katta pul qaytadi, karta: sovga-yangiyil.click",phishing,forex_soxta_treyder
Bepul davolash dasturi! 27 500 000 so'mgacha davlat kompensatsiyasi olish uchun shifo kartangizni tasdiqlang: uz-compensation.info,phishing,sog'liq_dorixona
"Assalomu alaykum, buyurtmangiz ofis filialidan olib ketishga tayyor, 19:00gacha kutamiz.",safe,xavfsiz
"Assalomu alaykum, bugungi yig'ilish 15:00ga ko'chirildi, bank filialida bo'lib o'tadi.",safe,xavfsiz
Faqat 1 kun ichida pulingizni 3 martaga oshiring! Kripto-loyihamizga qo'shiling: hamyon-uz.top. Minimal depozit 3 000 000 so'm.,phishing,kripto_investitsiya
"Bugungi mashg'ulot ofisda 15:00da boshlanadi, kechikmang iltimos.",safe,xavfsiz
"Hurmatli mijoz, Asakabank orqali 12 000 000 so'm miqdorida to'lovingiz muvaffaqiyatli amalga oshirildi.",safe,xavfsiz
"Assalomu alaykum, bugungi yig'ilish 14:00ga ko'chirildi, ofisda bo'lib o'tadi.",safe,xavfsiz
"Xalq banki sizni yangi depozit shartlari bilan tanishishga taklif qiladi — foiz stavkasi 20% gacha, filiallarga tashrif buyuring.",safe,xavfsiz
"Shaxzod, doktor ertaga 19:00ga qabulga chaqirdi, tahlil natijalarini olib boring.",safe,xavfsiz
"Bugun soat 9:00da video-qo'ng'iroq qilamizmi, Feruza? Loyihani muhokama qilishimiz kerak.",safe,xavfsiz
"Salom, men amakingman, hozir chet elda muammoga tushdim, tezda 3 000 000 so'm yubor, uyga qaytganda qaytaraman.",phishing,shoshilinch_yordam
"Yagona portal (my.gov.uz) xabari: profilingizda tasdiqlanmagan ma'lumot bor, shaxsiy kabinet parolingizni tasdiqlash uchun kiriting: telegram-support-uz.net",phishing,davlat_xizmatlari_markazi
Sizga masofadan ishlash imkoniyati taklif etiladi. Ish jihozlarini olish uchun avval kichik depozit talab qilinadi: gov-uz-yordam.com,phishing,ish_taklifi_oldindan_tolov
"Hurmatli mijoz, Ipoteka bank orqali 5 400 000 so'm miqdorida to'lovingiz muvaffaqiyatli amalga oshirildi.",safe,xavfsiz
"Hurmatli janob/xonim, familiyangiz o'xshashligi sababli xorijiy qarindoshingizdan sizga katta meros qoldi. Rasmiylashtirish xarajatlarini oldindan to'lashingiz kerak: hamyon-uz.top",phishing,meros_scam
"VIP treyding guruhi: bugun kirganlar ertaga 3 baravar pul olishadi, isbot skrinshotlar bor, tezroq qo'shiling: sovga-yangiyil.click",phishing,forex_soxta_treyder
"Onlayn kredit olish uchun endi bankka borish shart emas, OSON tizimi orqali 12 000 000 so'mgacha kredit tasdiqlandi, faqat SMS kodni tasdiqlang.",phishing,oson_kredit_soxta
"Bugungi mashg'ulot mehmonxonada 9:00da boshlanadi, kechikmang iltimos.",safe,xavfsiz
"Feruza, sizga yuborilgan shartnomani ko'rib chiqib, imzo qo'yib qaytaring.",safe,xavfsiz
Bepul davolash dasturi! 8 300 000 so'mgacha davlat kompensatsiyasi olish uchun shifo kartangizni tasdiqlang: click-uz-bonus.xyz,phishing,sog'liq_dorixona
"Onlayn kredit olish uchun endi bankka borish shart emas, OSON tizimi orqali 3 000 000 so'mgacha kredit tasdiqlandi, faqat SMS kodni tasdiqlang.",phishing,oson_kredit_soxta
"Bugun ob-havo ochiq, harorat +22 daraja. Kechqurun sayrga chiqsak bo'ladimi, Nodira?",safe,xavfsiz
"Ertangi konferensiyaga ro'yxatdan o'tish uchun rasmiy sayt orqali ariza to'ldirishingiz kerak, Nodira.",safe,xavfsiz
"Yagona portal (my.gov.uz) xabari: profilingizda tasdiqlanmagan ma'lumot bor, shaxsiy kabinet parolingizni tasdiqlash uchun kiriting: gov-uz-yordam.com",phishing,davlat_xizmatlari_markazi
"Yagona portal (my.gov.uz) xabari: profilingizda tasdiqlanmagan ma'lumot bor, shaxsiy kabinet parolingizni tasdiqlash uchun kiriting: uz-compensation.info",phishing,davlat_xizmatlari_markazi
"ofisda xonangizni band qildik, check-in vaqti 16:30.",safe,xavfsiz
"Jasur, doktor ertaga 15:00ga qabulga chaqirdi, tahlil natijalarini olib boring.",safe,xavfsiz
"VIDEO: Taniqli shaxs nomidan tarqatilgan xabar — 'Bu loyiha orqali har kim 1 850 000 so'm ishlab topishi mumkin', batafsil: telegram-support-uz.net",phishing,mashhur_shaxs_deepfake
"Elektr energiyasi bo'yicha 1 850 000 so'm qarzingiz bor, 2 soat ichida to'lamasangiz svet o'chiriladi, to'lov: sovga-yangiyil.click",phishing,kommunal_tolov
Xalq banki ilovasida yangi funksiya qo'shildi: endi to'lovlarni QR-kod orqali amalga oshirishingiz mumkin.,safe,xavfsiz
"Uyda ishlab, kuniga 500 000 so'mgacha top! Ishni boshlash uchun 27 500 000 so'm ro'yxatdan o'tish to'lovini o'tkazing: sovga-yangiyil.click",phishing,ish_taklifi_oldindan_tolov
"Aziz, konsertga chipta oldim, ikkimiz uchun ham yetadi.",safe,xavfsiz
Sizning n.om.zodingiz g'olib  bo'lish arafasida! Ovo z berish u chun Te.legr.am akkauntingiz orqali ta.sdiqdan o'ting: hamy-on-uz.top,phishing,soxta_tanlov_obfuskatsiya
"3 xonali kvartira, markazda, atigi 8 300 000 so'm, joyni band qilish uchun oldindan avans o'tkazing: click-uz-bonus.xyz",phishing,uy_joy_firibgarligi
Sizning nomzodingiz g'olib bo'lish arafasida! Ovoz berish uchun Telegram akkauntingiz orqali tasdiqdan o'ting: gov-uz-yordam.com,phishing,soxta_tanlov
Faqat 1 kun ichida pulingizni 3 martaga oshiring! Kripto-loyihamizga qo'shiling: sovga-yangiyil.click. Minimal depozit 27 500 000 so'm.,phishing,kripto_investitsiya
"Assalomu  alaykum, tabriklaymiz, si-z a v.iach ip.taga yut uq qozondingi z, faqat boj xona to'lovi uchun karta ma'lumotlarin gizni y u-boring..",phishing,yashirin_ma'lumot_sorash_obfuskatsiya
"ofisda xonangizni band qildik, check-in vaqti 19:00.",safe,xavfsiz
"Hurmatli mijoz, Ipoteka bank orqali 50 000 000 so'm miqdorida to'lovingiz muvaffaqiyatli amalga oshirildi.",safe,xavfsiz
"Assalomu alaykum, Aziz! Sizga davlat tomonidan yangi ijtimoiy kompensatsiya dasturi doirasida 50 000 000 so'm ajratildi. Tasdiqlash uchun havolaga o'ting: gov-uz-yordam.com",phishing,davlat_kompensatsiya
"Politsiya bo'limiga arizamni topshirdim, ular hujjatlarni tekshirib chiqishadi, hech qanday pul talab qilishmadi.",safe,xavfsiz
"Pochta xizmat i: п.осылка-нг из б.ож тўлови-ни кутмоқда, картангиз р ақами ва а мал қил.иш му-дд.ат ини ки.ритинг: uz-c-ompens ation.info",phishing,yashirin_ma'lumot_sorash_obfuskatsiya
"E'loningizni ko'rdim, tovaringizni sotib olaman, lekin Toshkentda emasman. Yetkazib berish firmasi orqali to'layman, avval avtorizatsiyadan o'tish uchun kichik summa o'tkazing: sovga-yangiyil.click",phishing,olx_sotuvchi_firibgarligi
"Davlаt xizmati: pasрort/ID kаrta ma'lumоtlaringizni yangilash muddati o'tmoqdа, jаrimadan qochish uсhun shaxsiy mа'lumotlаringizni ushbu formaga kiriting: telegram-supрort-uz.net",phishing,davlat_xizmatlari_markazi_obfuskatsiya
"Salom Jasur, ertaga soat 14:00da uchrashamizmi? bank filialiga borib gaplashaylik.",safe,xavfsiz
"Shaxzod bilan loyihani muhokama qildik, hammasi rejaga muvofiq davom etmoqda.",safe,xavfsiz
"Salom Bekzod, ertaga soat 15:00da uchrashamizmi? sport zaliga borib gaplashaylik.",safe,xavfsiz
"Hurmatli fuqaro, pasport almashtirish arizangiz qabul qilindi, 10:30 kuni tayyor bo'ladi.",safe,xavfsiz
"VIP treyding guruhi: bugun kirganlar ertaga 3 baravar pul olishadi, isbot skrinshotlar bor, tezroq qo'shiling: telegram-support-uz.net",phishing,forex_soxta_treyder
"Yordamga muhtoj oilaga xayriya to'planmoqda, ishonch uchun kasallik tarixi bor, mana karta raqami: sovga-yangiyil.click",phishing,xayriya_firibgarligi
